[0118.94] Log: Log file open, 06/04/16 17:20:49
[2163.21] Log: [TRICKNAME] 2090.511475 : Show trick name
[2164.20] Log: [TRICKNAME] 2091.520996 : Show trick name
[2166.21] Log: [TRICKNAME] 2093.555420 : Hide trick name
[2173.20] Log: [TRICKNAME] 2100.611084 : Show trick name
[2175.88] Log: [TRICKNAME] 2103.290771 : Show trick name
[2176.89] Log: [TRICKNAME] 2104.298584 : Show trick name
[2178.89] Log: [TRICKNAME] 2106.316162 : Hide trick name
[2209.73] Log: [TRICKNAME] 2137.299072 : Show trick name
[2210.73] Log: [TRICKNAME] 2138.293213 : Show trick name
[2211.73] Log: [TRICKNAME] 2139.299805 : Show trick name
[2212.73] Log: [TRICKNAME] 2140.306641 : Show trick name
[2213.73] Log: [TRICKNAME] 2141.322266 : Show trick name
[2214.73] Log: [TRICKNAME] 2142.337891 : Show trick name
[2216.63] Log: [TRICKNAME] 2144.265625 : Show trick name
[2218.43] Log: [TRICKNAME] 2146.076172 : Show trick name
[2219.43] Log: [TRICKNAME] 2147.092285 : Show trick name
[2220.44] Log: [TRICKNAME] 2148.114258 : Show trick name
[2221.44] Log: [TRICKNAME] 2149.129639 : Show trick name
[2222.45] Log: [TRICKNAME] 2150.147217 : Show trick name
[2223.45] Log: [TRICKNAME] 2151.162842 : Show trick name
[2225.45] Log: [TRICKNAME] 2153.197266 : Hide trick name
[2241.41] Log: [TRICKNAME] 2169.261963 : Show trick name
[2268.19] Log: [TRICKNAME] 2196.252441 : Show trick name
[2269.20] Log: [TRICKNAME] 2197.254395 : Show trick name
[2270.20] Log: [TRICKNAME] 2198.254150 : Show trick name
[2271.20] Log: [TRICKNAME] 2199.259033 : Show trick name
[2273.89] Log: [TRICKNAME] 2201.985596 : Show trick name
[2274.89] Log: [TRICKNAME] 2203.001953 : Show trick name
[2275.89] Log: [TRICKNAME] 2204.017578 : Show trick name
[2276.89] Log: [TRICKNAME] 2205.033203 : Show trick name
[2277.89] Log: [TRICKNAME] 2206.046387 : Show trick name
[2278.90] Log: [TRICKNAME] 2207.062500 : Show trick name
[2279.90] Log: [TRICKNAME] 2208.078125 : Show trick name
[2280.90] Log: [TRICKNAME] 2209.093750 : Show trick name
[2281.90] Log: [TRICKNAME] 2210.109375 : Show trick name
[2283.90] Log: [TRICKNAME] 2212.140625 : Hide trick name
[2296.40] Log: [TRICKNAME] 2224.769531 : Show trick name
[2297.39] Log: [TRICKNAME] 2225.760986 : Show trick name
[2298.40] Log: [TRICKNAME] 2226.768799 : Show trick name
[2299.67] Log: [TRICKNAME] 2228.048340 : Show trick name
[2302.09] Log: [TRICKNAME] 2230.488770 : Show trick name
[2303.10] Log: [TRICKNAME] 2231.493896 : Show trick name
[2304.10] Log: [TRICKNAME] 2232.505371 : Show trick name
[2305.11] Log: [TRICKNAME] 2233.522949 : Show trick name
[2306.11] Log: [TRICKNAME] 2234.538574 : Show trick name
[2308.11] Log: [TRICKNAME] 2236.556885 : Hide trick name
[2323.99] Log: [TRICKNAME] 2252.542969 : Show trick name
[2325.99] Log: [TRICKNAME] 2254.540771 : Hide trick name
[2329.07] Log: [TRICKNAME] 2257.616211 : Show trick name
[2330.07] Log: [TRICKNAME] 2258.613525 : Show trick name
[2332.42] Log: [TRICKNAME] 2260.991699 : Show trick name
[2333.75] Log: [TRICKNAME] 2262.332275 : Show trick name
[2334.75] Log: [TRICKNAME] 2263.335449 : Show trick name
[2336.76] Log: [TRICKNAME] 2265.341797 : Hide trick name
[2352.76] Log: [TRICKNAME] 2281.343994 : Show trick name
[2354.49] Log: [TRICKNAME] 2283.091553 : Show trick name
[2356.30] Log: [TRICKNAME] 2284.912354 : Show trick name
[2357.30] Log: [TRICKNAME] 2285.914063 : Show trick name
[2359.31] Log: [TRICKNAME] 2287.922607 : Hide trick name
[2369.51] Log: [TRICKNAME] 2298.126953 : Show trick name
[2372.41] Log: [TRICKNAME] 2301.032715 : Show trick name
[2373.42] Log: [TRICKNAME] 2302.032959 : Show trick name
[2376.63] Log: [TRICKNAME] 2305.287598 : Hide trick name
[2398.96] Log: [TRICKNAME] 2327.799805 : Show trick name
[2399.96] Log: [TRICKNAME] 2328.809326 : Show trick name
[2402.65] Log: [TRICKNAME] 2331.502686 : Show trick name
[2403.65] Log: [TRICKNAME] 2332.507080 : Show trick name
[2404.66] Log: [TRICKNAME] 2333.510742 : Show trick name
[2405.66] Log: [TRICKNAME] 2334.521484 : Show trick name
[2406.67] Log: [TRICKNAME] 2335.525635 : Show trick name
[2408.67] Log: [TRICKNAME] 2337.542725 : Hide trick name
[2426.01] Log: [TRICKNAME] 2354.999268 : Show trick name
[2427.01] Log: [TRICKNAME] 2355.992432 : Show trick name
[2428.60] Log: [TRICKNAME] 2357.587891 : Show trick name
[2429.61] Log: [TRICKNAME] 2358.595215 : Show trick name
[2430.61] Log: [TRICKNAME] 2359.597168 : Show trick name
[2431.61] Log: [TRICKNAME] 2360.600830 : Show trick name
[2432.61] Log: [TRICKNAME] 2361.617188 : Show trick name
[2434.48] Log: [TRICKNAME] 2363.507813 : Show trick name
[2436.30] Log: [TRICKNAME] 2365.359375 : Show trick name
[2437.31] Log: [TRICKNAME] 2366.374756 : Show trick name
[2438.31] Log: [TRICKNAME] 2367.383301 : Show trick name
[2439.31] Log: [TRICKNAME] 2368.395752 : Show trick name
[2441.32] Log: [TRICKNAME] 2370.432617 : Hide trick name
[2455.44] Log: [TRICKNAME] 2384.738281 : Show trick name
[2457.43] Log: [TRICKNAME] 2386.761719 : Hide trick name
[2466.71] Log: [TRICKNAME] 2396.150879 : Show trick name
[2467.71] Log: [TRICKNAME] 2397.150635 : Show trick name
[2469.71] Log: [TRICKNAME] 2399.156250 : Hide trick name
[2474.50] Log: [TRICKNAME] 2403.940430 : Show trick name
[2476.91] Log: [TRICKNAME] 2406.354980 : Show trick name
[2477.92] Log: [TRICKNAME] 2407.362305 : Show trick name
[2479.93] Log: [TRICKNAME] 2409.370850 : Hide trick name
[2505.96] Log: [TRICKNAME] 2435.714111 : Show trick name
