[0146.12] Log: Log file open, 06/06/16 00:22:43
[2924.38] Log: [TRICKNAME] 2575.771729 : Hide trick name
[2925.63] Log: [TRICKNAME] 2577.045166 : Show trick name
[2926.63] Log: [TRICKNAME] 2578.052979 : Show trick name
[2928.63] Log: [TRICKNAME] 2580.084229 : Hide trick name
[2929.66] Log: [TRICKNAME] 2581.131104 : Show trick name
[2930.65] Log: [TRICKNAME] 2582.138916 : Show trick name
[2932.65] Log: [TRICKNAME] 2584.146729 : Hide trick name
[2966.69] Log: [TRICKNAME] 2618.322266 : Show trick name
[2967.69] Log: [TRICKNAME] 2619.316162 : Show trick name
[2969.69] Log: [TRICKNAME] 2621.336426 : Hide trick name
[2972.35] Log: [TRICKNAME] 2624.039551 : Show trick name
[2973.35] Log: [TRICKNAME] 2625.047852 : Show trick name
[2975.35] Log: [TRICKNAME] 2627.057129 : Hide trick name
[2979.20] Log: [TRICKNAME] 2630.925781 : Show trick name
[2980.20] Log: [TRICKNAME] 2631.930664 : Show trick name
[2981.20] Log: [TRICKNAME] 2632.946289 : Show trick name
[2982.20] Log: [TRICKNAME] 2633.961914 : Show trick name
[2983.20] Log: [TRICKNAME] 2634.977539 : Show trick name
[2984.20] Log: [TRICKNAME] 2635.993164 : Show trick name
[2986.20] Log: [TRICKNAME] 2638.024414 : Hide trick name
[2993.55] Log: [TRICKNAME] 2645.486328 : Show trick name
[2994.54] Log: [TRICKNAME] 2646.494141 : Show trick name
[2996.54] Log: [TRICKNAME] 2648.503662 : Hide trick name
[3022.98] Log: [TRICKNAME] 2675.216797 : Show trick name
[3023.98] Log: [TRICKNAME] 2676.217529 : Show trick name
[3024.98] Log: [TRICKNAME] 2677.230713 : Show trick name
[3025.99] Log: [TRICKNAME] 2678.250244 : Show trick name
[3026.99] Log: [TRICKNAME] 2679.265869 : Show trick name
[3027.99] Log: [TRICKNAME] 2680.275391 : Show trick name
[3030.00] Log: [TRICKNAME] 2682.298096 : Hide trick name
[3090.02] Log: [TRICKNAME] 2742.959961 : Show trick name
[3091.02] Log: [TRICKNAME] 2743.957520 : Show trick name
[3093.03] Log: [TRICKNAME] 2745.968018 : Hide trick name
[3103.71] Log: [TRICKNAME] 2756.678223 : Show trick name
[3104.70] Log: [TRICKNAME] 2757.677002 : Show trick name
[3106.70] Log: [TRICKNAME] 2759.680176 : Hide trick name
[3123.14] Log: [TRICKNAME] 2776.239258 : Show trick name
[3124.13] Log: [TRICKNAME] 2777.247070 : Show trick name
[3126.13] Log: [TRICKNAME] 2779.278320 : Hide trick name
[3128.68] Log: [TRICKNAME] 2781.859131 : Show trick name
[3129.68] Log: [TRICKNAME] 2782.869873 : Show trick name
[3131.68] Log: [TRICKNAME] 2784.901123 : Hide trick name
[3136.86] Log: [TRICKNAME] 2790.160156 : Show trick name
